name,id,admins,urlch,chn,emoji,ch_welcome,
mahi,1019485675256565770,1019484919195521034,0 0,0 0,0 0,
madsb10,853927227393310741,1042841752278663279,0 0,0 0,0 0,
mahi2,1087292173197791262,1019484919195521034,0 0,1089865816540971018 0,0 0,
amirfire,1071789141169295391,1071777880415141938 1019484919195521034,0 0,0 0,0 0,
mahdidesigner,472488675654238208,418526507540021259,0 0,0 0,0 0,
ancient_netherite,1095356552057204817,1090624303059451924,0 0,0 0,0 0,
programming_forum,1106102532553584642,1019484919195521034 1090624303059451924,0 0,0 0,0 0,
